image_id,image_path,produce_type,grade,expert_score,colour_score,damage_score,shape_score,size_score,surface_defect_score,lighting_condition,background_condition,split
TOM_B_066,images/train/TOM_B_066.jpg,Tomato,B,66.5,63.5,68.7,64.8,62.7,72.7,indoor_fluorescent,white_inspection_mat,train
TOM_B_067,images/train/TOM_B_067.jpg,Tomato,B,71.1,68.0,69.8,75.8,82.3,63.1,direct_sunlight,wooden_grading_bench,train
TOM_B_068,images/train/TOM_B_068.jpg,Tomato,B,70.6,71.8,70.3,72.2,67.4,70.7,direct_sunlight,white_inspection_mat,train
TOM_B_069,images/train/TOM_B_069.jpg,Tomato,B,72.6,78.7,67.9,72.6,83.0,61.6,shade_overcast,white_inspection_mat,train
TOM_B_070,images/train/TOM_B_070.jpg,Tomato,B,70.5,76.8,64.1,72.3,81.4,60.2,shade_overcast,burlap_fabric,train
TOM_B_071,images/train/TOM_B_071.jpg,Tomato,B,72.7,64.4,74.4,72.5,78.2,77.7,indoor_fluorescent,wooden_grading_bench,train
TOM_B_072,images/train/TOM_B_072.jpg,Tomato,B,68.2,62.5,70.2,72.7,75.2,62.3,indoor_fluorescent,neutral_gray_tray,train
TOM_B_073,images/train/TOM_B_073.jpg,Tomato,B,73.1,68.5,73.2,72.9,80.9,73.1,shade_overcast,wooden_grading_bench,train
TOM_B_074,images/train/TOM_B_074.jpg,Tomato,B,75.3,78.3,69.3,78.4,77.7,76.5,indoor_fluorescent,wooden_grading_bench,train
TOM_B_075,images/train/TOM_B_075.jpg,Tomato,B,69.8,64.1,78.3,64.9,75.7,61.6,greenhouse_filtered,burlap_fabric,train
TOM_B_076,images/train/TOM_B_076.jpg,Tomato,B,73.4,72.9,77.5,66.7,73.3,72.9,greenhouse_filtered,white_inspection_mat,train
TOM_B_077,images/train/TOM_B_077.jpg,Tomato,B,72.9,77.9,68.1,64.0,83.9,72.3,shade_overcast,burlap_fabric,train
TOM_B_078,images/train/TOM_B_078.jpg,Tomato,B,71.9,67.2,71.1,74.8,75.6,75.0,shade_overcast,white_inspection_mat,train
TOM_B_079,images/train/TOM_B_079.jpg,Tomato,B,71.6,63.1,75.9,77.6,80.9,62.1,indoor_fluorescent,burlap_fabric,train
TOM_B_080,images/train/TOM_B_080.jpg,Tomato,B,69.9,63.5,73.1,75.7,62.4,76.0,direct_sunlight,burlap_fabric,train
TOM_B_081,images/train/TOM_B_081.jpg,Tomato,B,68.8,65.5,62.9,76.9,84.7,62.0,indoor_fluorescent,neutral_gray_tray,train
TOM_B_082,images/train/TOM_B_082.jpg,Tomato,B,69.7,75.2,67.5,72.9,69.5,61.8,direct_sunlight,wooden_grading_bench,train
TOM_B_083,images/train/TOM_B_083.jpg,Tomato,B,72.4,76.5,63.5,75.8,76.7,75.4,shade_overcast,neutral_gray_tray,train
TOM_B_084,images/train/TOM_B_084.jpg,Tomato,B,66.8,65.7,68.1,71.4,63.9,64.3,shade_overcast,neutral_gray_tray,train
TOM_B_085,images/val/TOM_B_085.jpg,Tomato,B,73.9,78.1,73.5,75.8,63.9,76.0,shade_overcast,neutral_gray_tray,val
TOM_B_086,images/val/TOM_B_086.jpg,Tomato,B,70.9,73.5,71.1,69.2,73.2,65.3,greenhouse_filtered,wooden_grading_bench,val
TOM_B_087,images/val/TOM_B_087.jpg,Tomato,B,73.3,75.4,70.3,76.5,74.0,72.0,shade_overcast,burlap_fabric,val
TOM_B_088,images/val/TOM_B_088.jpg,Tomato,B,68.0,67.8,68.3,67.9,66.2,69.7,direct_sunlight,wooden_grading_bench,val
TOM_B_089,images/val/TOM_B_089.jpg,Tomato,B,66.8,69.6,63.6,66.1,74.7,61.0,indoor_fluorescent,wooden_grading_bench,val
TOM_B_090,images/val/TOM_B_090.jpg,Tomato,B,73.8,77.3,74.4,75.1,71.6,67.5,greenhouse_filtered,white_inspection_mat,val
TOM_B_091,images/val/TOM_B_091.jpg,Tomato,B,68.2,73.3,66.9,66.3,68.9,63.2,indoor_fluorescent,white_inspection_mat,val
TOM_B_092,images/val/TOM_B_092.jpg,Tomato,B,71.3,72.7,75.0,64.7,68.7,70.8,greenhouse_filtered,wooden_grading_bench,val
TOM_B_093,images/val/TOM_B_093.jpg,Tomato,B,71.5,67.9,73.7,70.3,83.1,62.5,diffuse_daylight,wooden_grading_bench,val
TOM_B_094,images/val/TOM_B_094.jpg,Tomato,B,68.8,63.6,64.1,71.0,82.9,70.8,shade_overcast,burlap_fabric,val
TOM_B_095,images/val/TOM_B_095.jpg,Tomato,B,68.7,65.6,65.9,70.6,84.0,62.0,diffuse_daylight,neutral_gray_tray,val
TOM_B_096,images/val/TOM_B_096.jpg,Tomato,B,72.7,68.7,73.8,74.1,71.1,77.6,direct_sunlight,burlap_fabric,val
TOM_B_097,images/val/TOM_B_097.jpg,Tomato,B,67.9,68.5,73.5,65.5,63.2,62.7,diffuse_daylight,burlap_fabric,val
TOM_B_098,images/val/TOM_B_098.jpg,Tomato,B,70.4,70.3,71.4,70.5,69.2,69.7,direct_sunlight,neutral_gray_tray,val
TOM_B_099,images/val/TOM_B_099.jpg,Tomato,B,67.1,63.1,67.2,73.9,67.7,66.1,greenhouse_filtered,neutral_gray_tray,val
TOM_B_100,images/val/TOM_B_100.jpg,Tomato,B,71.4,76.3,71.1,69.5,72.0,65.2,direct_sunlight,neutral_gray_tray,val
TOM_B_101,images/val/TOM_B_101.jpg,Tomato,B,73.9,74.0,76.7,73.4,72.4,70.4,indoor_fluorescent,white_inspection_mat,val
TOM_B_102,images/val/TOM_B_102.jpg,Tomato,B,71.2,66.2,76.1,67.8,75.8,68.4,greenhouse_filtered,burlap_fabric,val
TOM_B_103,images/test/TOM_B_103.jpg,Tomato,B,72.3,71.9,75.2,67.5,75.1,69.5,greenhouse_filtered,burlap_fabric,test
TOM_B_104,images/test/TOM_B_104.jpg,Tomato,B,74.2,74.2,76.0,74.2,84.2,60.4,shade_overcast,neutral_gray_tray,test
TOM_B_105,images/test/TOM_B_105.jpg,Tomato,B,69.7,77.8,67.7,68.1,63.8,67.6,shade_overcast,wooden_grading_bench,test
TOM_B_106,images/test/TOM_B_106.jpg,Tomato,B,72.6,74.5,66.4,76.7,77.8,72.4,indoor_fluorescent,white_inspection_mat,test
TOM_B_107,images/test/TOM_B_107.jpg,Tomato,B,74.8,65.5,78.1,75.6,83.4,74.6,diffuse_daylight,wooden_grading_bench,test
TOM_B_108,images/test/TOM_B_108.jpg,Tomato,B,70.0,72.2,63.2,78.6,71.1,70.0,indoor_fluorescent,white_inspection_mat,test
TOM_B_109,images/test/TOM_B_109.jpg,Tomato,B,71.1,74.7,77.7,65.8,63.0,65.1,greenhouse_filtered,burlap_fabric,test
TOM_B_110,images/test/TOM_B_110.jpg,Tomato,B,71.1,74.2,64.5,70.6,84.7,66.3,direct_sunlight,white_inspection_mat,test
TOM_B_111,images/test/TOM_B_111.jpg,Tomato,B,72.8,69.7,78.2,76.6,65.5,70.7,diffuse_daylight,white_inspection_mat,test
TOM_B_112,images/test/TOM_B_112.jpg,Tomato,B,71.6,67.1,75.6,69.8,71.3,73.2,direct_sunlight,white_inspection_mat,test
TOM_B_113,images/test/TOM_B_113.jpg,Tomato,B,71.6,64.2,77.3,68.4,72.1,75.1,shade_overcast,white_inspection_mat,test
TOM_B_114,images/test/TOM_B_114.jpg,Tomato,B,73.2,78.7,66.4,69.1,83.1,72.1,greenhouse_filtered,white_inspection_mat,test
TOM_B_115,images/test/TOM_B_115.jpg,Tomato,B,73.7,77.3,74.6,65.3,79.7,68.0,direct_sunlight,neutral_gray_tray,test
TOM_B_116,images/test/TOM_B_116.jpg,Tomato,B,71.0,73.0,69.6,68.0,76.9,67.9,direct_sunlight,burlap_fabric,test
TOM_B_117,images/test/TOM_B_117.jpg,Tomato,B,69.3,78.9,67.2,65.9,66.6,63.8,shade_overcast,white_inspection_mat,test
TOM_B_118,images/test/TOM_B_118.jpg,Tomato,B,74.2,62.9,78.1,77.4,81.6,74.4,greenhouse_filtered,burlap_fabric,test
TOM_B_119,images/test/TOM_B_119.jpg,Tomato,B,68.7,67.8,70.6,70.6,71.6,61.5,diffuse_daylight,burlap_fabric,test
TOM_B_120,images/test/TOM_B_120.jpg,Tomato,B,70.1,63.0,72.7,64.9,79.5,72.8,indoor_fluorescent,neutral_gray_tray,test
TOM_C_001,images/train/TOM_C_001.jpg,Tomato,C,41.6,39.5,42.9,47.5,55.1,22.8,diffuse_daylight,white_inspection_mat,train
TOM_C_002,images/train/TOM_C_002.jpg,Tomato,C,39.5,41.1,29.5,45.7,50.3,40.0,shade_overcast,wooden_grading_bench,train
TOM_C_003,images/train/TOM_C_003.jpg,Tomato,C,46.8,54.3,31.7,53.3,54.1,50.8,indoor_fluorescent,white_inspection_mat,train
TOM_C_004,images/train/TOM_C_004.jpg,Tomato,C,43.1,50.0,30.7,57.9,59.0,25.6,indoor_fluorescent,neutral_gray_tray,train
TOM_C_005,images/train/TOM_C_005.jpg,Tomato,C,49.3,57.6,48.2,37.0,57.8,41.4,direct_sunlight,neutral_gray_tray,train
TOM_C_006,images/train/TOM_C_006.jpg,Tomato,C,47.8,57.2,33.5,47.9,65.0,43.6,shade_overcast,wooden_grading_bench,train
TOM_C_007,images/train/TOM_C_007.jpg,Tomato,C,41.9,37.1,40.2,39.6,59.0,38.3,diffuse_daylight,wooden_grading_bench,train
TOM_C_008,images/train/TOM_C_008.jpg,Tomato,C,48.6,56.4,47.9,40.7,49.5,44.3,diffuse_daylight,burlap_fabric,train
TOM_C_009,images/train/TOM_C_009.jpg,Tomato,C,40.1,30.3,33.8,37.3,61.1,50.6,diffuse_daylight,burlap_fabric,train
TOM_C_010,images/train/TOM_C_010.jpg,Tomato,C,45.5,38.7,51.9,36.5,48.7,49.9,greenhouse_filtered,white_inspection_mat,train
TOM_C_011,images/train/TOM_C_011.jpg,Tomato,C,44.5,36.0,37.3,46.9,65.8,49.7,indoor_fluorescent,white_inspection_mat,train
TOM_C_012,images/train/TOM_C_012.jpg,Tomato,C,41.7,34.2,28.9,57.1,61.4,44.7,indoor_fluorescent,wooden_grading_bench,train
TOM_C_013,images/train/TOM_C_013.jpg,Tomato,C,38.7,42.1,33.2,40.5,41.2,39.9,greenhouse_filtered,white_inspection_mat,train
TOM_C_014,images/train/TOM_C_014.jpg,Tomato,C,41.8,33.6,54.0,40.0,52.6,22.3,shade_overcast,burlap_fabric,train
TOM_C_015,images/train/TOM_C_015.jpg,Tomato,C,40.0,35.8,35.6,46.5,41.9,47.5,direct_sunlight,neutral_gray_tray,train
TOM_C_016,images/train/TOM_C_016.jpg,Tomato,C,48.6,45.5,55.8,51.8,60.2,24.8,direct_sunlight,neutral_gray_tray,train
TOM_C_017,images/train/TOM_C_017.jpg,Tomato,C,44.4,33.9,49.5,46.6,41.9,52.3,diffuse_daylight,burlap_fabric,train
TOM_C_018,images/train/TOM_C_018.jpg,Tomato,C,38.4,39.4,26.9,44.0,46.7,46.1,shade_overcast,white_inspection_mat,train
TOM_C_019,images/train/TOM_C_019.jpg,Tomato,C,41.1,32.9,39.3,36.6,46.1,57.7,shade_overcast,wooden_grading_bench,train
TOM_C_020,images/train/TOM_C_020.jpg,Tomato,C,40.6,33.8,31.4,40.7,60.3,50.3,diffuse_daylight,neutral_gray_tray,train
TOM_C_021,images/train/TOM_C_021.jpg,Tomato,C,40.6,32.6,41.3,36.7,45.4,51.9,indoor_fluorescent,wooden_grading_bench,train
TOM_C_022,images/train/TOM_C_022.jpg,Tomato,C,41.3,42.7,33.5,49.3,44.3,43.8,direct_sunlight,burlap_fabric,train
TOM_C_023,images/train/TOM_C_023.jpg,Tomato,C,43.2,44.3,37.6,39.7,52.2,46.8,indoor_fluorescent,white_inspection_mat,train
TOM_C_024,images/train/TOM_C_024.jpg,Tomato,C,46.5,55.2,38.7,53.5,58.0,28.8,greenhouse_filtered,wooden_grading_bench,train
TOM_C_025,images/train/TOM_C_025.jpg,Tomato,C,42.2,54.3,26.0,41.2,65.3,32.6,indoor_fluorescent,burlap_fabric,train
TOM_C_026,images/train/TOM_C_026.jpg,Tomato,C,39.0,37.0,36.3,35.6,43.4,46.7,diffuse_daylight,white_inspection_mat,train
TOM_C_027,images/train/TOM_C_027.jpg,Tomato,C,49.7,50.1,46.5,57.4,61.5,35.7,direct_sunlight,neutral_gray_tray,train
TOM_C_028,images/train/TOM_C_028.jpg,Tomato,C,42.4,52.7,25.5,50.1,46.0,47.8,diffuse_daylight,wooden_grading_bench,train
TOM_C_029,images/train/TOM_C_029.jpg,Tomato,C,37.8,34.1,27.9,46.0,44.6,48.9,diffuse_daylight,burlap_fabric,train
TOM_C_030,images/train/TOM_C_030.jpg,Tomato,C,42.9,34.8,46.8,40.9,43.3,49.9,diffuse_daylight,neutral_gray_tray,train
TOM_C_031,images/train/TOM_C_031.jpg,Tomato,C,37.6,52.8,20.7,37.4,41.8,42.0,indoor_fluorescent,neutral_gray_tray,train
TOM_C_032,images/train/TOM_C_032.jpg,Tomato,C,38.8,31.0,25.1,49.5,54.3,52.8,indoor_fluorescent,white_inspection_mat,train
TOM_C_033,images/train/TOM_C_033.jpg,Tomato,C,39.1,47.9,33.1,36.9,43.5,34.0,shade_overcast,wooden_grading_bench,train
TOM_C_034,images/train/TOM_C_034.jpg,Tomato,C,49.7,54.7,49.3,54.2,54.1,33.0,direct_sunlight,white_inspection_mat,train
TOM_C_035,images/train/TOM_C_035.jpg,Tomato,C,46.4,49.7,47.0,44.7,57.3,30.8,diffuse_daylight,burlap_fabric,train
TOM_C_036,images/train/TOM_C_036.jpg,Tomato,C,40.2,36.1,31.0,42.2,48.2,55.6,greenhouse_filtered,neutral_gray_tray,train
TOM_C_037,images/train/TOM_C_037.jpg,Tomato,C,46.4,40.2,52.1,35.2,61.5,41.3,direct_sunlight,burlap_fabric,train
TOM_C_038,images/train/TOM_C_038.jpg,Tomato,C,40.6,32.3,35.4,45.3,56.7,44.2,direct_sunlight,wooden_grading_bench,train
TOM_C_039,images/train/TOM_C_039.jpg,Tomato,C,46.4,40.2,53.9,45.2,41.7,47.6,shade_overcast,neutral_gray_tray,train
TOM_C_040,images/train/TOM_C_040.jpg,Tomato,C,43.0,52.9,26.9,50.1,56.9,38.0,direct_sunlight,white_inspection_mat,train
TOM_C_041,images/train/TOM_C_041.jpg,Tomato,C,49.0,57.1,30.4,47.6,66.7,56.4,greenhouse_filtered,white_inspection_mat,train
TOM_C_042,images/train/TOM_C_042.jpg,Tomato,C,37.3,37.5,24.3,47.1,60.2,30.1,direct_sunlight,white_inspection_mat,train
TOM_C_043,images/train/TOM_C_043.jpg,Tomato,C,47.0,50.9,33.8,47.9,67.4,45.5,diffuse_daylight,neutral_gray_tray,train
TOM_C_044,images/train/TOM_C_044.jpg,Tomato,C,45.2,44.7,46.2,36.7,46.9,51.1,greenhouse_filtered,neutral_gray_tray,train
TOM_C_045,images/train/TOM_C_045.jpg,Tomato,C,40.2,37.5,39.6,54.6,48.6,22.8,indoor_fluorescent,neutral_gray_tray,train
TOM_C_046,images/train/TOM_C_046.jpg,Tomato,C,45.7,55.1,41.8,43.6,57.2,28.4,diffuse_daylight,burlap_fabric,train
TOM_C_047,images/train/TOM_C_047.jpg,Tomato,C,51.9,54.3,49.5,58.0,65.8,32.6,diffuse_daylight,wooden_grading_bench,train
TOM_C_048,images/train/TOM_C_048.jpg,Tomato,C,37.7,33.1,22.2,46.3,60.2,45.1,direct_sunlight,burlap_fabric,train
TOM_C_049,images/train/TOM_C_049.jpg,Tomato,C,47.2,46.9,50.5,54.3,58.1,23.0,shade_overcast,neutral_gray_tray,train
TOM_C_050,images/train/TOM_C_050.jpg,Tomato,C,50.9,57.0,38.6,56.2,62.6,48.2,greenhouse_filtered,neutral_gray_tray,train
TOM_C_051,images/train/TOM_C_051.jpg,Tomato,C,44.8,48.0,46.7,47.1,47.4,30.8,shade_overcast,wooden_grading_bench,train
TOM_C_052,images/train/TOM_C_052.jpg,Tomato,C,38.2,31.1,25.6,58.9,53.6,38.9,diffuse_daylight,wooden_grading_bench,train
TOM_C_053,images/train/TOM_C_053.jpg,Tomato,C,40.7,34.5,45.1,38.9,49.8,34.8,greenhouse_filtered,wooden_grading_bench,train
TOM_C_054,images/train/TOM_C_054.jpg,Tomato,C,46.9,45.2,38.8,51.8,58.2,49.5,indoor_fluorescent,wooden_grading_bench,train
TOM_C_055,images/train/TOM_C_055.jpg,Tomato,C,45.3,35.9,48.0,50.2,54.1,41.9,diffuse_daylight,neutral_gray_tray,train
TOM_C_056,images/train/TOM_C_056.jpg,Tomato,C,41.8,46.8,32.1,35.4,44.3,56.5,greenhouse_filtered,white_inspection_mat,train
TOM_C_057,images/train/TOM_C_057.jpg,Tomato,C,45.4,51.6,43.7,42.1,55.0,31.9,shade_overcast,wooden_grading_bench,train
TOM_C_058,images/train/TOM_C_058.jpg,Tomato,C,37.0,30.1,38.8,37.8,49.6,31.2,shade_overcast,white_inspection_mat,train
TOM_C_059,images/train/TOM_C_059.jpg,Tomato,C,41.6,37.0,27.1,46.2,62.7,52.5,greenhouse_filtered,wooden_grading_bench,train
TOM_C_060,images/train/TOM_C_060.jpg,Tomato,C,47.8,46.1,43.3,48.5,60.1,46.6,direct_sunlight,white_inspection_mat,train
TOM_C_061,images/train/TOM_C_061.jpg,Tomato,C,53.5,50.3,49.2,58.8,64.1,51.4,greenhouse_filtered,neutral_gray_tray,train
TOM_C_062,images/train/TOM_C_062.jpg,Tomato,C,43.8,43.7,30.1,50.3,58.7,49.8,diffuse_daylight,burlap_fabric,train
TOM_C_063,images/train/TOM_C_063.jpg,Tomato,C,37.4,35.2,21.0,38.5,64.5,45.8,direct_sunlight,burlap_fabric,train
TOM_C_064,images/train/TOM_C_064.jpg,Tomato,C,44.3,38.5,52.6,52.6,42.6,30.6,shade_overcast,white_inspection_mat,train
TOM_C_065,images/train/TOM_C_065.jpg,Tomato,C,49.0,51.7,50.9,43.7,40.4,54.5,shade_overcast,white_inspection_mat,train
TOM_C_066,images/train/TOM_C_066.jpg,Tomato,C,45.2,56.0,25.3,48.6,62.2,46.5,indoor_fluorescent,neutral_gray_tray,train
TOM_C_067,images/train/TOM_C_067.jpg,Tomato,C,43.1,42.4,31.3,48.1,50.5,55.7,indoor_fluorescent,burlap_fabric,train
TOM_C_068,images/train/TOM_C_068.jpg,Tomato,C,39.5,35.7,37.1,37.8,40.0,52.0,greenhouse_filtered,wooden_grading_bench,train
TOM_C_069,images/train/TOM_C_069.jpg,Tomato,C,44.4,39.9,45.9,43.4,59.8,34.2,shade_overcast,burlap_fabric,train
TOM_C_070,images/train/TOM_C_070.jpg,Tomato,C,49.9,34.9,52.1,58.6,62.6,49.2,direct_sunlight,wooden_grading_bench,train
TOM_C_071,images/train/TOM_C_071.jpg,Tomato,C,47.6,35.8,49.8,51.4,66.8,40.0,diffuse_daylight,wooden_grading_bench,train
TOM_C_072,images/train/TOM_C_072.jpg,Tomato,C,43.4,48.2,35.5,57.7,47.6,32.9,greenhouse_filtered,neutral_gray_tray,train
TOM_C_073,images/train/TOM_C_073.jpg,Tomato,C,34.7,33.5,26.5,58.8,40.4,23.6,direct_sunlight,neutral_gray_tray,train
TOM_C_074,images/train/TOM_C_074.jpg,Tomato,C,53.1,56.2,52.8,50.8,54.9,49.2,shade_overcast,burlap_fabric,train
TOM_C_075,images/train/TOM_C_075.jpg,Tomato,C,50.1,55.1,39.9,50.3,55.6,56.3,shade_overcast,wooden_grading_bench,train
TOM_C_076,images/train/TOM_C_076.jpg,Tomato,C,39.4,40.3,30.5,56.5,50.5,27.4,greenhouse_filtered,burlap_fabric,train
TOM_C_077,images/train/TOM_C_077.jpg,Tomato,C,48.9,33.4,51.6,48.6,67.9,50.7,shade_overcast,wooden_grading_bench,train
TOM_C_078,images/train/TOM_C_078.jpg,Tomato,C,48.1,33.3,52.3,56.7,49.9,54.3,diffuse_daylight,wooden_grading_bench,train
TOM_C_079,images/train/TOM_C_079.jpg,Tomato,C,40.6,38.3,32.3,45.5,54.2,42.3,direct_sunlight,neutral_gray_tray,train
TOM_C_080,images/train/TOM_C_080.jpg,Tomato,C,39.8,50.5,24.2,45.7,52.1,34.7,shade_overcast,burlap_fabric,train
TOM_C_081,images/train/TOM_C_081.jpg,Tomato,C,40.3,36.2,27.0,57.8,57.6,38.9,shade_overcast,neutral_gray_tray,train
TOM_C_082,images/train/TOM_C_082.jpg,Tomato,C,50.3,53.5,51.1,50.9,49.7,43.6,shade_overcast,white_inspection_mat,train
TOM_C_083,images/train/TOM_C_083.jpg,Tomato,C,45.1,45.5,43.6,54.3,42.5,40.7,indoor_fluorescent,neutral_gray_tray,train
TOM_C_084,images/train/TOM_C_084.jpg,Tomato,C,43.3,43.9,34.2,46.6,65.4,35.4,indoor_fluorescent,white_inspection_mat,train
TOM_C_085,images/val/TOM_C_085.jpg,Tomato,C,41.3,31.0,44.8,36.4,53.8,43.6,indoor_fluorescent,burlap_fabric,val
TOM_C_086,images/val/TOM_C_086.jpg,Tomato,C,43.2,47.5,38.9,39.7,64.4,27.0,diffuse_daylight,burlap_fabric,val
TOM_C_087,images/val/TOM_C_087.jpg,Tomato,C,41.0,35.7,41.3,43.8,61.5,25.7,direct_sunlight,neutral_gray_tray,val
TOM_C_088,images/val/TOM_C_088.jpg,Tomato,C,40.3,53.5,31.4,40.8,51.0,24.8,direct_sunlight,neutral_gray_tray,val
TOM_C_089,images/val/TOM_C_089.jpg,Tomato,C,48.8,48.1,43.1,56.9,65.6,36.3,direct_sunlight,neutral_gray_tray,val
TOM_C_090,images/val/TOM_C_090.jpg,Tomato,C,41.0,39.8,32.3,39.2,60.9,42.5,greenhouse_filtered,wooden_grading_bench,val
TOM_C_091,images/val/TOM_C_091.jpg,Tomato,C,44.2,41.6,50.1,42.5,50.6,31.8,greenhouse_filtered,wooden_grading_bench,val
TOM_C_092,images/val/TOM_C_092.jpg,Tomato,C,48.5,45.8,43.7,47.4,57.7,54.4,diffuse_daylight,white_inspection_mat,val
TOM_C_093,images/val/TOM_C_093.jpg,Tomato,C,43.8,51.1,24.7,56.3,67.0,34.0,greenhouse_filtered,burlap_fabric,val
TOM_C_094,images/val/TOM_C_094.jpg,Tomato,C,37.3,35.9,37.0,35.1,44.5,35.5,direct_sunlight,neutral_gray_tray,val
TOM_C_095,images/val/TOM_C_095.jpg,Tomato,C,44.3,39.7,46.4,39.3,51.2,45.6,greenhouse_filtered,white_inspection_mat,val
TOM_C_096,images/val/TOM_C_096.jpg,Tomato,C,37.8,51.5,20.8,36.2,56.8,31.6,shade_overcast,burlap_fabric,val
TOM_C_097,images/val/TOM_C_097.jpg,Tomato,C,41.1,37.7,44.8,51.7,41.4,28.7,diffuse_daylight,burlap_fabric,val
TOM_C_098,images/val/TOM_C_098.jpg,Tomato,C,38.5,30.4,32.3,49.1,57.8,34.5,diffuse_daylight,wooden_grading_bench,val
TOM_C_099,images/val/TOM_C_099.jpg,Tomato,C,42.6,41.4,47.0,39.3,44.5,37.1,shade_overcast,wooden_grading_bench,val
TOM_C_100,images/val/TOM_C_100.jpg,Tomato,C,50.0,56.2,53.2,55.4,44.5,33.6,diffuse_daylight,white_inspection_mat,val
TOM_C_101,images/val/TOM_C_101.jpg,Tomato,C,37.5,51.1,24.0,45.3,43.5,28.1,greenhouse_filtered,neutral_gray_tray,val
TOM_C_102,images/val/TOM_C_102.jpg,Tomato,C,39.5,34.8,32.4,52.3,60.9,27.6,direct_sunlight,white_inspection_mat,val
TOM_C_103,images/test/TOM_C_103.jpg,Tomato,C,43.7,51.9,31.5,40.5,56.4,44.8,direct_sunlight,neutral_gray_tray,test
TOM_C_104,images/test/TOM_C_104.jpg,Tomato,C,39.4,51.2,26.6,43.2,59.0,22.2,greenhouse_filtered,wooden_grading_bench,test
TOM_C_105,images/test/TOM_C_105.jpg,Tomato,C,41.8,37.7,49.5,36.3,51.4,29.3,shade_overcast,white_inspection_mat,test
TOM_C_106,images/test/TOM_C_106.jpg,Tomato,C,51.1,54.4,45.2,48.4,62.9,48.6,indoor_fluorescent,wooden_grading_bench,test
TOM_C_107,images/test/TOM_C_107.jpg,Tomato,C,41.6,53.0,35.6,36.8,58.1,22.8,greenhouse_filtered,burlap_fabric,test
TOM_C_108,images/test/TOM_C_108.jpg,Tomato,C,46.0,30.7,51.2,35.7,64.6,52.8,greenhouse_filtered,wooden_grading_bench,test
TOM_C_109,images/test/TOM_C_109.jpg,Tomato,C,49.5,56.5,50.1,35.2,62.5,37.6,diffuse_daylight,wooden_grading_bench,test
TOM_C_110,images/test/TOM_C_110.jpg,Tomato,C,40.6,31.3,33.6,43.0,64.9,43.5,shade_overcast,white_inspection_mat,test
TOM_C_111,images/test/TOM_C_111.jpg,Tomato,C,45.0,37.0,46.3,52.8,60.1,32.8,direct_sunlight,wooden_grading_bench,test
TOM_C_112,images/test/TOM_C_112.jpg,Tomato,C,48.2,57.1,55.0,38.0,49.7,28.6,indoor_fluorescent,neutral_gray_tray,test
TOM_C_113,images/test/TOM_C_113.jpg,Tomato,C,42.7,37.0,40.0,56.4,53.1,33.2,direct_sunlight,burlap_fabric,test
TOM_C_114,images/test/TOM_C_114.jpg,Tomato,C,42.9,44.6,38.9,39.9,44.0,49.8,direct_sunlight,neutral_gray_tray,test
TOM_C_115,images/test/TOM_C_115.jpg,Tomato,C,43.7,43.7,41.8,40.3,52.1,42.4,greenhouse_filtered,white_inspection_mat,test
TOM_C_116,images/test/TOM_C_116.jpg,Tomato,C,44.1,34.5,40.1,53.8,49.1,53.1,greenhouse_filtered,burlap_fabric,test
TOM_C_117,images/test/TOM_C_117.jpg,Tomato,C,43.1,36.9,25.6,49.7,67.2,57.7,shade_overcast,white_inspection_mat,test
TOM_C_118,images/test/TOM_C_118.jpg,Tomato,C,51.0,57.5,48.9,50.1,64.9,31.5,indoor_fluorescent,burlap_fabric,test
TOM_C_119,images/test/TOM_C_119.jpg,Tomato,C,44.2,38.7,45.1,45.3,61.4,33.0,diffuse_daylight,white_inspection_mat,test
TOM_C_120,images/test/TOM_C_120.jpg,Tomato,C,38.7,35.0,35.5,44.2,53.3,31.1,diffuse_daylight,white_inspection_mat,test
EDGE_LIGHT_01,images/edge_cases/edge_poor_lighting_01.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,extreme_darkness,neutral_gray_tray,edge_cases
EDGE_LIGHT_02,images/edge_cases/edge_poor_lighting_02.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,extreme_darkness,neutral_gray_tray,edge_cases
EDGE_LIGHT_03,images/edge_cases/edge_poor_lighting_03.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,extreme_darkness,neutral_gray_tray,edge_cases
EDGE_MULTI_01,images/edge_cases/edge_multiple_objects_01.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,diffuse_daylight,wooden_grading_bench,edge_cases
EDGE_MULTI_02,images/edge_cases/edge_multiple_objects_02.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,diffuse_daylight,wooden_grading_bench,edge_cases
EDGE_MULTI_03,images/edge_cases/edge_multiple_objects_03.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,diffuse_daylight,wooden_grading_bench,edge_cases
EDGE_BLUR_01,images/edge_cases/edge_blurry_01.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,diffuse_daylight,white_inspection_mat,edge_cases
EDGE_BLUR_02,images/edge_cases/edge_blurry_02.jpg,Tomato,EDGE_CASE,0.0,0.0,0.0,0.0,0.0,0.0,diffuse_daylight,white_inspection_mat,edge_cases
